,num_labels,silhouette,eps,comp,sample_value
0,15.0,0.8494370966721236,0.014666666666666666,25.0,20.0
0,9.0,0.8450754699174452,0.014666666666666666,25.0,50.0
0,4.0,0.8208699761316631,0.014666666666666666,25.0,100.0
0,0.0,0.8241992787412382,0.014666666666666666,25.0,200.0
0,35.0,0.8258877385506429,0.016,25.0,5.0
0,22.0,0.8317253435367497,0.016,25.0,10.0
0,14.0,0.8393423147764024,0.016,25.0,20.0
0,10.0,0.8287107498712553,0.016,25.0,50.0
0,3.0,0.8237057835356855,0.016,25.0,100.0
0,0.0,0.825133283005375,0.016,25.0,200.0
0,32.0,0.8275813190675817,0.017333333333333333,25.0,5.0
0,22.0,0.8315458954967466,0.017333333333333333,25.0,10.0
0,12.0,0.8344536383100075,0.017333333333333333,25.0,20.0
0,10.0,0.8327257541923538,0.017333333333333333,25.0,50.0
0,4.0,0.8295457013989493,0.017333333333333333,25.0,100.0
0,0.0,0.8258732899536972,0.017333333333333333,25.0,200.0
0,30.0,0.8213174996207889,0.018666666666666665,25.0,5.0
0,22.0,0.8263372779897967,0.018666666666666665,25.0,10.0
0,11.0,0.8280944957525329,0.018666666666666665,25.0,20.0
0,8.0,0.8234134629936793,0.018666666666666665,25.0,50.0
0,5.0,0.8347194983900534,0.018666666666666665,25.0,100.0
0,0.0,0.8268186944619866,0.018666666666666665,25.0,200.0
0,141.0,0.6135963391013853,0.005,50.0,5.0
0,64.0,0.5824552554904125,0.005,50.0,10.0
0,11.0,0.5725510833501273,0.005,50.0,20.0
0,0.0,0.6788993366518845,0.005,50.0,50.0
0,0.0,0.6742425680007159,0.005,50.0,100.0
0,0.0,0.6689662213308061,0.005,50.0,200.0
0,126.0,0.7104101712719716,0.008,50.0,5.0
0,56.0,0.6934859836036315,0.008,50.0,10.0
0,21.0,0.6908365603382419,0.008,50.0,20.0
0,2.0,0.7035944185641915,0.008,50.0,50.0
0,0.0,0.7171380821408684,0.008,50.0,100.0
0,0.0,0.7149052358381792,0.008,50.0,200.0
0,95.0,0.7580247470678512,0.011,50.0,5.0
0,49.0,0.7625590989205597,0.011,50.0,10.0
0,32.0,0.7486315876452865,0.011,50.0,20.0
0,7.0,0.6790225200518811,0.011,50.0,50.0
0,0.0,0.7313329314186985,0.011,50.0,100.0
0,0.0,0.7304181550258642,0.011,50.0,200.0
0,84.0,0.8119641869376705,0.014000000000000002,50.0,5.0
0,46.0,0.8052777955844735,0.014000000000000002,50.0,10.0
0,34.0,0.7729731047174966,0.014000000000000002,50.0,20.0
0,8.0,0.7174668288430565,0.014000000000000002,50.0,50.0
0,2.0,0.7201185325306975,0.014000000000000002,50.0,100.0
0,0.0,0.7369536938060177,0.014000000000000002,50.0,200.0
0,80.0,0.8040799380927969,0.017,50.0,5.0
0,50.0,0.8034109188722895,0.017,50.0,10.0
0,32.0,0.7740766453999507,0.017,50.0,20.0
0,8.0,0.7548166522842333,0.017,50.0,50.0
0,3.0,0.7311901961151326,0.017,50.0,100.0
